Time,To,Φtot
2000-02-01 12:00:00+01:00,10.0,71.4
2000-02-01 13:00:00+01:00,11.0,70.0
2000-02-01 14:00:00+01:00,13.0,301.59740968752766
2000-02-01 15:00:00+01:00,11.0,40.6
2000-02-01 16:00:00+01:00,11.0,33.6
2000-02-01 17:00:00+01:00,10.0,4.2
2000-02-01 18:00:00+01:00,8.0,0.0
2000-02-01 19:00:00+01:00,8.0,0.0
2000-02-01 20:00:00+01:00,8.0,0.0
2000-02-01 21:00:00+01:00,7.8,0.0
2000-02-01 22:00:00+01:00,8.0,0.0
2000-02-01 23:00:00+01:00,8.0,0.0
2000-02-02 00:00:00+01:00,7.3,0.0
2000-02-02 01:00:00+01:00,7.0,0.0
2000-02-02 02:00:00+01:00,7.0,0.0
2000-02-02 03:00:00+01:00,7.2,0.0
2000-02-02 04:00:00+01:00,7.0,0.0
2000-02-02 05:00:00+01:00,7.0,0.0
2000-02-02 06:00:00+01:00,6.7,0.0
2000-02-02 07:00:00+01:00,6.0,0.0
2000-02-02 08:00:00+01:00,7.0,7.7
2000-02-02 09:00:00+01:00,7.0,45.5
2000-02-02 10:00:00+01:00,11.0,91.30189982877798
2000-02-02 11:00:00+01:00,12.0,129.05896819422145
2000-02-02 12:00:00+01:00,11.8,153.2618739298623
2000-02-02 13:00:00+01:00,12.0,160.40372828320093
2000-02-02 14:00:00+01:00,12.0,174.10690813601883
2000-02-02 15:00:00+01:00,12.1,131.16544348162367
2000-02-02 16:00:00+01:00,12.0,60.80799338570945
2000-02-02 17:00:00+01:00,10.0,6.3
2000-02-02 18:00:00+01:00,9.2,0.0
2000-02-02 19:00:00+01:00,9.0,0.0
2000-02-02 20:00:00+01:00,8.0,0.0
2000-02-02 21:00:00+01:00,8.0,0.0
2000-02-02 22:00:00+01:00,9.0,0.0
2000-02-02 23:00:00+01:00,9.0,0.0
2000-02-03 00:00:00+01:00,9.0,0.0
2000-02-03 01:00:00+01:00,9.0,0.0
2000-02-03 02:00:00+01:00,9.0,0.0
2000-02-03 03:00:00+01:00,8.0,0.0
2000-02-03 04:00:00+01:00,8.0,0.0
2000-02-03 05:00:00+01:00,8.0,0.0
2000-02-03 06:00:00+01:00,7.5,0.0
2000-02-03 07:00:00+01:00,7.0,0.0
2000-02-03 08:00:00+01:00,7.0,11.2
2000-02-03 09:00:00+01:00,8.0,46.2
2000-02-03 10:00:00+01:00,9.0,199.2973468578142
2000-02-03 11:00:00+01:00,11.0,235.7151903911314
